name,isolate,host,country,date,SOURCE,latitude,longitude,coordinates,coordinate_loc,coordinate_comment,general_comment,ACE2,submission_date
OK017856.1,YN2020F,Rhinolophus sinicus,Yunnan,2020-06,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017857.1,YN2020G,Rhinolophus sinicus,Yunnan,2020-06,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017858.1,YN2020H,Rhinolophus sinicus,Yunnan,2020-06,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017807.1,AH2021A,Rhinolophus sinicus,Anhui,2021-07,10.21203/rs.3.rs-885194/v1,30.99464120755001,117.65384642733508,"30.994641207550007, 117.65384642733508",Anhui,province-level,,,2021.662899543379
OK017808.1,FJ2021A,Rhinolophus sinicus,Fujian,2021-05,10.21203/rs.3.rs-885194/v1,25.64631890866084,118.03823738207568,"25.646318908660838, 118.03823738207568",Fujian,province-level,,,2021.662899543379
OK017809.1,FJ2021D,Rhinolophus sinicus,Fujian,2021-05,10.21203/rs.3.rs-885194/v1,25.64631890866084,118.03823738207568,"25.646318908660838, 118.03823738207568",Fujian,province-level,,,2021.662899543379
OK017810.1,FJ2021E,Rhinolophus sinicus,Fujian,2021-05,10.21203/rs.3.rs-885194/v1,25.64631890866084,118.03823738207568,"25.646318908660838, 118.03823738207568",Fujian,province-level,,,2021.662899543379
OK017811.1,FJ2021M,Rhinolophus sinicus,Fujian,2021-05,10.21203/rs.3.rs-885194/v1,25.64631890866084,118.03823738207568,"25.646318908660838, 118.03823738207568",Fujian,province-level,,,2021.662899543379
OK017829.1,GZ2021C,Rhinolophus sinicus,Guizhou,2021-03,10.21203/rs.3.rs-885194/v1,27.560934352206324,107.59350733337706,"27.560934352206324, 107.59350733337705",Guizhou,province-level,,,2021.662899543379
OK017830.1,GZ2021H,Rhinolophus sinicus,Guizhou,2021-03,10.21203/rs.3.rs-885194/v1,27.560934352206324,107.59350733337706,"27.560934352206324, 107.59350733337705",Guizhou,province-level,,,2021.662899543379
OK017831.1,GZ2021I,Rhinolophus sinicus,Guizhou,2021-03,10.21203/rs.3.rs-885194/v1,27.560934352206324,107.59350733337706,"27.560934352206324, 107.59350733337705",Guizhou,province-level,,,2021.662899543379
OK017803.1,HN2021A,Rhinolophus pusillus,Hunan,2021-02,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017804.1,HN2021B,Rhinolophus pusillus,Hunan,2021-02,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017805.1,HN2021G,Rhinolophus pusillus,Hunan,2021-03,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017832.1,HN2021C,Rhinolophus sinicus,Hunan,2021-02,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017833.1,HN2021D,Rhinolophus sinicus,Hunan,2021-02,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017834.1,HN2021E,Rhinolophus sinicus,Hunan,2021-03,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017835.1,HN2021F,Rhinolophus sinicus,Hunan,2021-03,10.21203/rs.3.rs-885194/v1,28.02499168710197,111.30904305284376,"28.02499168710197, 111.30904305284375",Hunan,province-level,,,2021.662899543379
OK017860.1,JX2021D,Rhinolophus siamensis,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017836.1,JX2021AC,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017837.1,JX2021C,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017838.1,JX2021G,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017839.1,JX2021J,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017840.1,JX2021K,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017841.1,JX2021L,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017842.1,JX2021M,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017843.1,JX2021N,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017844.1,JX2021O,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
