name,isolate,host,country,date,SOURCE,latitude,longitude,coordinates,coordinate_loc,coordinate_comment,general_comment,ACE2,submission_date
OK017845.1,JX2021P,Rhinolophus sinicus,Jiangxi,2021-07,10.21203/rs.3.rs-885194/v1,27.40117697858004,115.33784643450134,"27.401176978580033, 115.33784643450134",Jiangxi,province-level,,,2021.662899543379
OK017806.1,YN2021,Rhinolophus pusillus,Yunnan,2021-04,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
EPI_ISL_412977,RmYN02,Rhinolophus malayanus,Yunnan,2019-06-25,10.1016/j.cub.2020.05.023,21.47195672907145,101.556792038927,"21.471956729071447, 101.55679203892701",Mengla,,,N,2020.1666666666667
KY938558.1,16BO133,Rhinolophus ferrumequinum,South Korea,2016-04-17,10.1007/s00248-017-1033-8,35.474422132221775,127.14481012626948,"35.474422132221775, 127.1448101262695",Jeollabuk-do,,,,2017.262899543379
MN908947.3,Wuhan-Hu-1,Homo sapiens,Hubei,2019-12,,30.67321023,114.2987561,"30.673210230995313, 114.29875609255726",Wuhan,,,Y,2020.0109289617487
MN996532.2,RaTG13,Rhinolophus affinis,Yunnan,2013-07-24,10.1038/s41586-020-2012-7,23.29298412,101.3836952,"23.292984115330405, 101.38369522652954",Tongguan Town,,,Y,2020.0710382513664
MZ937000.1,BANAL-20-52/Laos/2020,Rhinolophus malayanus,Laos,2020-07-05,10.21203/rs.3.rs-871965/v1,18.66585993222259,102.14923141373971,"18.665859932222595, 102.14923141373973","Fueng​​​ District​, Vientiane Province ",,,,2021.6519406392692
MZ937001.1,BANAL-20-103/Laos/2020,Rhinolophus pusillus,Laos,2020-07-07,10.21203/rs.3.rs-871965/v1,18.66585993222259,102.14923141373971,"18.665859932222595, 102.14923141373973","Fueng​​​ District​, Vientiane Province ",,,,2021.6519406392692
MZ937003.1,BANAL-20-236/Laos/2020,Rhinolophus marshalli,Laos,2020-07-10,10.21203/rs.3.rs-871965/v1,18.66585993222259,102.14923141373971,"18.665859932222595, 102.14923141373973","Fueng​​​ District​, Vientiane Province ",,,,2021.6519406392692
MT121216.1,MP789,Manis javanica,Guangdong,2019-03-29,10.1371/journal.ppat.1008421,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,Y,2020.155737704918
EPI_ISL_852604,RshSTT182,Rhinolophus shameli,Cambodia,2010-12-06,10.1101/2021.01.26.428212,13.72259968,106.25267209999998,"13.722599682592563, 106.2526721387726",Steung Treng Province,,,,2021.0520547945205
EPI_ISL_852605,RshSTT200,Rhinolophus shameli,Cambodia,2010-12-06,10.1101/2021.01.26.428212,13.72259968,106.25267209999998,"13.722599682592563, 106.2526721387726",Steung Treng Province,,,N,2021.0520547945205
