name;isolate;host;country;date;fn_coordinates;coordinate_comment
GQ153542.1;HKU3-7;Rhinolophus sinicus;Guangdong;2006-02-15;"(22.33342970394504; 114.17708843455159)";
DQ084199.1;HKU3-2;Rhinolophus sinicus;Guangdong;2005-02-24;"(22.33342970394504; 114.17708843455159)";
GQ153547.1;HKU3-12;Rhinolophus sinicus;Guangdong;2007-05-15;"(22.33342970394504; 114.17708843455159)";
GQ153539.1;HKU3-4;Rhinolophus sinicus;Guangdong;2005-09-20;"(22.33342970394504; 114.17708843455159)";
GQ153541.1;HKU3-6;Rhinolophus sinicus;Guangdong;2005-12-16;"(22.33342970394504; 114.17708843455159)";
DQ022305.2;HKU3-1;Rhinolophus sinicus;Guangdong;2005-02-17;"(22.33342970394504; 114.17708843455159)";
DQ084200.1;HKU3-3;Rhinolophus sinicus;Guangdong;2005-03-17;"(22.33342970394504; 114.17708843455159)";
GQ153543.1;HKU3-8;Rhinolophus sinicus;Guangdong;2006-02-15;"(22.33342970394504; 114.17708843455159)";
KP886808.1;YNLF_31C;Rhinolophus ferrumequinum;Yunnan;2013-05-23;"(25.149153645782288; 102.07482857136728)";
KJ473814.1;BtRs-HuB2013;Rhinolophus sinicus;Hubei;2013;"(33.25967309318875; 110.97762911146998);(31.7708811340717; 114.50487961478888);(29.687411520563927; 115.10816994487408);(29.607252594257268; 112.63521050936967);(29.122545037113703; 109.22867395815675);(31.168033010608404; 110.18963525744485)";province-level
KJ473815.1;BtRs-GX2013;Rhinolophus sinicus;Guangxi;2013;"(24.406060999842314; 111.56341552729944)";
MK211374.1;BtRl-BetaCoV/SC2018;Rhinolophus sp.;Sichuan;2016-08;"(32.91077198144077; 105.49548321710148);(30.23659953633434; 106.29940460647393);(27.869150916682315; 104.55268489671822);(27.52599121563398; 100.88851347550133);(32.473541474313535; 97.94778747558624);(32.98982679030519; 101.12798536660046)";province-level
KJ473812.1;BtRf-HeB2013;Rhinolophus ferrumequinum;Hebei;2013;"(41.312443246425424; 119.23312216938439);(40.01841760411959; 117.74124302518572);(39.59598227071838; 116.7702222298888);(36.085992921835924; 115.33003771795775);(39.08256766007656; 114.09020483486927);(41.5873684895433; 115.20066142206639)";province-level
KJ473813.1;BtRf-SX2013;Rhinolophus ferrumequinum;Shanxi;2013;"(40.73565229459901; 114.12792794490238);(38.854236173021235; 113.79484685483219);(36.63496011411789; 113.48020817411151);(35.278662248069686; 112.0523186017468);(36.4532223831251; 110.46934513257929);(38.878526756750524; 111.00361614282613)";province-level
DQ412042.1;Rf1;Rhinolophus ferrumequinum;Hubei;2004-11;"(30.693192888459226; 111.29423882047675)";
KY770860.1;Jiyuan-84;Rhinolophus ferrumequinum;Henan;2012;"(35.08167677437168; 112.61288458828015)";
KP886809.1;YNLF_34C;Rhinolophus ferrumequinum;Yunnan;2013-05-23;"(25.149153645782288; 102.07482857136728)";
KU182964.1;JTMC15;Rhinolophus ferrumequinum;Jilin;2013-08;"(41.729835979495256; 125.93825981047259)";
DQ412043.1;Rm1;Rhinolophus macrotis;Hubei;2004-11;"(30.693192888459226; 111.29423882047675)";
KJ473811.1;BtRf-JL2012;Rhinolophus ferrumequinum;Jilin;2012;"(43.47872166810123; 131.27601547462388);(42.01554523364416; 128.21038406593246);(41.24376714151806; 125.69606892461397);(43.836455719387146; 123.46537568465556);(46.19573386996659; 123.95996757175645);(44.59962169546377; 127.2538936537594)";province-level
MW251308.1;RacCS203;Rhinolophus acuminatus;Thailand;2020-06-19;"(13.696300303409638; 101.12112892356872)";
LC556375.1;Rc-o319;Rhinolophus cornutus;Japan;2013;"(39.45796629633173; 141.35660691624267)";
MZ081381.1;bat/Yunnan/RpYN06/2020;Rhinolophus pusillus;Yunnan;2020-05-25;"(21.471956729071447; 101.55679203892701)";
MW703458.1;PrC31;Rhinolophus pusillus;Yunnan;2018-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
MZ937002.1;BANAL-20-116/Laos/2020;Rhinolophus malayanus;Laos;2020-07-07;"(18.665859932222595; 102.14923141373973)";
MZ937004.1;BANAL-20-247/Laos/2020;Rhinolophus malayanus;Laos;2020-07-10;"(18.665859932222595; 102.14923141373973)";
OK017812.1;GD2016B;Rhinolophus sinicus;Guangdong;2016-07;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017847.1;YN2016A;Rhinolophus sinicus;Yunnan;2016-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017848.1;YN2016B;Rhinolophus sinicus;Yunnan;2016-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017849.1;YN2016C;Rhinolophus sinicus;Yunnan;2016-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017850.1;YN2016D;Rhinolophus sinicus;Yunnan;2016-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017851.1;YN2016E;Rhinolophus sinicus;Yunnan;2016-08;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017792.1;GD2017F;Rhinolophus affinis;Guangdong;2017-08;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017813.1;GD2017G;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017814.1;GD2017H;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017815.1;GD2017I;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017816.1;GD2017J;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017817.1;GD2017K;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017818.1;GD2017L;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017819.1;GD2017M;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017820.1;GD2017N;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017821.1;GD2017O;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017822.1;GD2017P;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017823.1;GD2017Q;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017824.1;GD2017W;Rhinolophus sinicus;Guangdong;2017-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017846.1;SC2018B;Rhinolophus sinicus;Sichuan;2016-08;"(32.91077198144077; 105.49548321710148);(30.23659953633434; 106.29940460647393);(27.869150916682315; 104.55268489671822);(27.52599121563398; 100.88851347550133);(32.473541474313535; 97.94778747558624);(32.98982679030519; 101.12798536660046)";province-level
OK017825.1;GD2019A;Rhinolophus sinicus;Guangdong;2019-08;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017826.1;GD2019B;Rhinolophus sinicus;Guangdong;2019-08;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017827.1;GD2019D;Rhinolophus sinicus;Guangdong;2019-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017828.1;GD2019E;Rhinolophus sinicus;Guangdong;2019-09;"(22.768790803996673; 114.94246769117305);(22.156447270530105; 113.07279858575384);(21.073970530157546; 110.29917199176323);(22.15821385843769; 110.52662837374069);(25.35375055977007; 112.98002767811684);(24.873017825418568; 116.36169491975237)";province-level
OK017859.1;GX2019A;Rhinolophus siamensis;Guangxi;2019-09;"(24.739861261884364; 112.01599264393715);(21.49154774681289; 109.77160731218896);(21.61211737150555; 107.68761505569269);(23.504795490994173; 105.81040132826685);(25.265200340902382; 106.98428862640856);(25.874893992507573; 109.7948000390982)";province-level
OK017801.1;HB2020D;Rhinolophus sp.;Hubei;2020-07;"(33.25967309318875; 110.97762911146998);(31.7708811340717; 114.50487961478888);(29.687411520563927; 115.10816994487408);(29.607252594257268; 112.63521050936967);(29.122545037113703; 109.22867395815675);(31.168033010608404; 110.18963525744485)";province-level
OK017802.1;HB2020E;Rhinolophus sp.;Hubei;2020-07;"(33.25967309318875; 110.97762911146998);(31.7708811340717; 114.50487961478888);(29.687411520563927; 115.10816994487408);(29.607252594257268; 112.63521050936967);(29.122545037113703; 109.22867395815675);(31.168033010608404; 110.18963525744485)";province-level
OK017794.1;LN2020A;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017795.1;LN2020B;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017796.1;LN2020C;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017797.1;LN2020E;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017798.1;LN2020F;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017799.1;LN2020G;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017800.1;LN2020H;Rhinolophus ferrumequinum;Liaoning;2020-09;"(39.44096418182782; 121.71781768356578);(40.66785948364544; 120.82028709522226);(42.30129082769599; 119.53937793676437);(43.33341981270239; 123.70428871486531);(40.94565543211314; 125.6295644787778);(39.3274609087655; 122.24258805869316)";province-level
OK017793.1;YN2020A;Rhinolophus affinis;Yunnan;2020-09;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017852.1;YN2020B;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017853.1;YN2020C;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017854.1;YN2020D;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017855.1;YN2020E;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017856.1;YN2020F;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017857.1;YN2020G;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017858.1;YN2020H;Rhinolophus sinicus;Yunnan;2020-06;"(27.709053887557445; 105.30016133626333);(24.051554448391656; 105.39963857457289);(22.606485539987325; 102.3826280632575);(23.172676964368236; 99.05768520189399);(27.928552435074856; 98.19676000180482);(26.84165922493333; 101.40043005017299)";province-level
OK017807.1;AH2021A;Rhinolophus sinicus;Anhui;2021-07;"(31.139325957110152; 119.63214884440137);(29.917509595526845; 117.24078309874636);(31.297214751350538; 115.45661970940222);(33.478950817217715; 115.34428867063693);(34.16792010117577; 117.03484286101);(32.57732851388414; 119.16550000176946)";province-level
OK017808.1;FJ2021A;Rhinolophus sinicus;Fujian;2021-05;"(24.664781275812015; 118.17519850578894);(24.23638370822271; 116.92782100069383);(27.61277484659408; 117.00969412098793);(27.321287841842594; 120.37487496638677);(26.59477856484836; 119.61650073949875);(25.363466793261786; 119.17164747155263)";province-level
OK017809.1;FJ2021D;Rhinolophus sinicus;Fujian;2021-05;"(24.664781275812015; 118.17519850578894);(24.23638370822271; 116.92782100069383);(27.61277484659408; 117.00969412098793);(27.321287841842594; 120.37487496638677);(26.59477856484836; 119.61650073949875);(25.363466793261786; 119.17164747155263)";province-level
OK017810.1;FJ2021E;Rhinolophus sinicus;Fujian;2021-05;"(24.664781275812015; 118.17519850578894);(24.23638370822271; 116.92782100069383);(27.61277484659408; 117.00969412098793);(27.321287841842594; 120.37487496638677);(26.59477856484836; 119.61650073949875);(25.363466793261786; 119.17164747155263)";province-level
OK017811.1;FJ2021M;Rhinolophus sinicus;Fujian;2021-05;"(24.664781275812015; 118.17519850578894);(24.23638370822271; 116.92782100069383);(27.61277484659408; 117.00969412098793);(27.321287841842594; 120.37487496638677);(26.59477856484836; 119.61650073949875);(25.363466793261786; 119.17164747155263)";province-level
OK017829.1;GZ2021C;Rhinolophus sinicus;Guizhou;2021-03;"(28.50357679899369; 109.27030909441552);(26.17675970121612; 109.46143951858332);(25.42905136933087; 107.30647192913585);(25.79274765480488; 104.38726207346187);(27.709053887557445; 105.30016133626333);(28.640266538343063; 106.8630158134132)";province-level
OK017830.1;GZ2021H;Rhinolophus sinicus;Guizhou;2021-03;"(28.50357679899369; 109.27030909441552);(26.17675970121612; 109.46143951858332);(25.42905136933087; 107.30647192913585);(25.79274765480488; 104.38726207346187);(27.709053887557445; 105.30016133626333);(28.640266538343063; 106.8630158134132)";province-level
OK017831.1;GZ2021I;Rhinolophus sinicus;Guizhou;2021-03;"(28.50357679899369; 109.27030909441552);(26.17675970121612; 109.46143951858332);(25.42905136933087; 107.30647192913585);(25.79274765480488; 104.38726207346187);(27.709053887557445; 105.30016133626333);(28.640266538343063; 106.8630158134132)";province-level
OK017803.1;HN2021A;Rhinolophus pusillus;Hunan;2021-02;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017804.1;HN2021B;Rhinolophus pusillus;Hunan;2021-02;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
OK017805.1;HN2021G;Rhinolophus pusillus;Hunan;2021-03;"(29.04834834499514; 113.94015068607087);(25.809751063415383; 113.9611079694226);(24.8750052368146; 111.45517574144478);(26.091301011186705; 109.88365892050955);(27.692050478946946; 109.44523255279131);(30.072748507905853; 110.91922814852981)";province-level
