node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host,startClade,endClade
39,10,0.03341585457,111.43564921434,27.8176456159096,111.36880764406,27.7736684049149,5526.56283906457,5526.52942321,2021.25151541685,2021.28493127142,SC2_OK017804.1,Rhinolophus pusillus,main,main
39,11,0.03341585457,111.43564921434,27.8176456159096,111.404817480782,27.8026949316192,5526.56283906457,5526.52942321,2021.25151541685,2021.28493127142,SC2_OK017803.1,Rhinolophus pusillus,main,main
40,12,57.45585728,121.694012126809,29.6304278653274,122.122001623243,29.9226816849646,5526.56283908,5469.1069818,1963.82907400685,2021.28493128685,SC2_MG772934.1,Rhinolophus pusillus,main,main
41,13,22.71605568,121.630368880599,29.5896158325504,119.07170137245,28.0163680389646,5526.56283908,5503.8467834,1998.56887560685,2021.28493128685,SC2_KF294457.1,Rhinolophus monoceros,main,main
41,14,22.71605568,121.630368880599,29.5896158325504,122.163564767374,29.9030429170191,5526.56283908,5503.8467834,1998.56887560685,2021.28493128685,SC2_MG772933.1,Rhinolophus pusillus,main,main
47,17,0.4870760455,102.109748072576,18.6457323436196,102.1579420398,18.6711327541187,5526.5628392675,5526.075763222,2020.79785542885,2021.28493147435,SC2_MZ937003.1,Rhinolophus marshalli,main,main
47,18,0.4870760455,102.109748072576,18.6457323436196,102.101927383874,18.6577249364858,5526.5628392675,5526.075763222,2020.79785542885,2021.28493147435,SC2_MZ937000.1,Rhinolophus malayanus,main,main
45,16,21.88591331,101.631975746274,21.1015282759576,101.568193405163,21.5770489932955,5526.562839268,5504.676925958,1999.39901816485,2021.28493147485,SC2_MZ081381.1,Rhinolophus pusillus,main,main
46,19,4.73206525,102.072000097897,18.6290939789152,102.04859831261,18.5763488478299,5526.562839268,5521.830774018,2016.55286622485,2021.28493147485,SC2_MZ937001.1,Rhinolophus pusillus,main,main
43,27,49.93289037,101.563369826166,21.9803466393735,101.315374744297,23.1542472915449,5526.56283927,5476.6299489,1971.35204110685,2021.28493147685,SC2_MN996532.2,Rhinolophus affinis,main,main
51,22,0.6682433264,106.155802533987,13.7449150952715,106.124036010883,13.7672723414441,5526.5628392724,5525.894595946,2020.61668815285,2021.28493147925,SC2_EPI_ISL_852604,Rhinolophus shameli,main,main
51,23,0.6682433264,106.155802533987,13.7449150952715,106.198693376731,13.6938224922672,5526.5628392724,5525.894595946,2020.61668815285,2021.28493147925,SC2_EPI_ISL_852605,Rhinolophus shameli,main,main
53,24,0.5487044817,102.1079155377,18.7351911689175,102.068536270308,18.8261528153367,5526.5628392757,5526.014134794,2020.73622700085,2021.28493148255,SC2_MZ937002.1,Rhinolophus malayanus,main,main
