name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	coordinate_comment	general_comment	GARD	group
KJ473811.1	BtRf-JL2012	Rhinolophus ferrumequinum	Jilin	2012		43.22913974	126.9370081	Jilin	province-level		SC1	SC1
MW251308.1	RacCS203	Rhinolophus acuminatus	Thailand	2020-06-19	10.1038/s41467-021-21240-1	13.6963003	101.12112890000002	Chachoengsao			SC2	SC1/SC2
LC556375.1	Rc-o319	Rhinolophus cornutus	Iwate	2013	10.3201/eid2612.203386	39.4579663	141.3566069	Iwate				SC1/SC2
MZ081380.1	bat/Yunnan/RsYN04/2020	Rhinolophus stheno	Yunnan	2020-04-18	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
MZ081378.1	bat/Yunnan/RmYN08/2020	Rhinolophus malayanus	Yunnan	2020-07-14	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
MZ081376.1	bat/Yunnan/RmYN05/2020	Rhinolophus malayanus	Yunnan	2020-05-25	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla				
MZ081381.1	bat/Yunnan/RpYN06/2020	Rhinolophus pusillus	Yunnan	2020-05-25	10.1016/j.cell.2021.06.008	21.47195673	101.556792	Mengla			SC2	SC1/SC2
MW703458.1	PrC31	Rhinolophus pusillus	Yunnan	2018-08	10.1080/22221751.2021.1964925	24.26621094	101.4905298	Yunnan	province-level		SC2	SC1/SC2
MZ937000.1	BANAL-20-52/Laos/2020	Rhinolophus malayanus	Laos	2020-07-05	10.21203/rs.3.rs-871965/v1	18.66585993222259	102.14923141373971	Fueng​​​ District​, Vientiane Province 			SC2	SC2
MZ937001.1	BANAL-20-103/Laos/2020	Rhinolophus pusillus	Laos	2020-07-07	10.21203/rs.3.rs-871965/v1	18.66585993222259	102.14923141373971	Fueng​​​ District​, Vientiane Province 			SC2	SC2
MZ937002.1	BANAL-20-116/Laos/2020	Rhinolophus malayanus	Laos	2020-07-07	10.21203/rs.3.rs-871965/v1	18.66585993222259	102.14923141373971	Fueng​​​ District​, Vientiane Province 			SC2	SC1/SC2
MZ937003.1	BANAL-20-236/Laos/2020	Rhinolophus marshalli	Laos	2020-07-10	10.21203/rs.3.rs-871965/v1	18.66585993222259	102.14923141373971	Fueng​​​ District​, Vientiane Province 			SC2	SC2
MZ937004.1	BANAL-20-247/Laos/2020	Rhinolophus malayanus	Laos	2020-07-10	10.21203/rs.3.rs-871965/v1	18.66585993222259	102.14923141373971	Fueng​​​ District​, Vientiane Province 				SC1/SC2
OK017812.1	GD2016B	Rhinolophus sinicus	Guangdong	2016-07	10.1093/nsr/nwac213	23.86367166708743	115.13543046617524	Guangdong	province-level			SC1
OK017847.1	YN2016A	Rhinolophus sinicus	Yunnan	2016-08	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017848.1	YN2016B	Rhinolophus sinicus	Yunnan	2016-08	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017849.1	YN2016C	Rhinolophus sinicus	Yunnan	2016-08	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
OK017850.1	YN2016D	Rhinolophus sinicus	Yunnan	2016-08	10.1093/nsr/nwac213	24.2662109374504	101.49052981981724	Yunnan	province-level			SC1
