node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,host
45,16,0.8222610203,106.135839043896,13.7511785768689,106.096278836575,13.7079663570802,8220.8301083803,8220.00784736,2019.71426480895,2020.53652582925,SC2_EPI_ISL_852604,Rhinolophus shameli
53,24,0.2228403706,102.232685236603,18.6482085709666,102.241955528039,18.7641691215195,8220.8301083806,8220.60726801,2020.31368545895,2020.53652582955,SC2_MZ937004.1,Rhinolophus malayanus
53,25,0.2228403706,102.232685236603,18.6482085709666,102.196698871644,18.4472094927323,8220.8301083806,8220.60726801,2020.31368545895,2020.53652582955,SC2_MZ937002.1,Rhinolophus malayanus
42,27,834.4299724,109.175890514403,23.3874484911355,112.631249156272,23.4520950429776,8220.8301084,7386.400136,1186.10655344895,2020.53652584895,SC2_MT121216.1,Manis javanica
38,14,0.03414941998,108.918012742601,23.7479322994912,108.961812957246,23.7887695744378,8220.83010841998,8220.795959,2020.50237644895,2020.53652586893,SC2_MT072864.1,Manis javanica
35,6,23.60051413,111.595578638164,27.3165281207896,111.735614837623,27.4463490258194,8220.83010861,8197.22959448,1996.93601192895,2020.53652605895,SC2_OK017805.1,Rhinolophus pusillus
34,4,13.96583174,103.124868911332,24.3724063341072,102.828652870692,24.3828495304041,8220.83010861,8206.86427687,2006.57069431895,2020.53652605895,SC2_MW703458.1,Rhinolophus pusillus
34,5,13.96583174,103.124868911332,24.3724063341072,102.812961901148,24.1987973245782,8220.83010861,8206.86427687,2006.57069431895,2020.53652605895,SC2_OK017806.1,Rhinolophus pusillus
31,1,34.10273428,120.720371369468,28.8233446389407,119.297234187697,28.0204380486419,8220.83010868,8186.7273744,1986.43379184895,2020.53652612895,SC2_KF294457.1,Rhinolophus monoceros
32,2,13.76067727,122.171249668706,29.7001243132377,122.354397555357,29.8671582253907,8220.83010868,8207.06943141,2006.77584885895,2020.53652612895,SC2_MG772933.1,Rhinolophus pusillus
32,3,13.76067727,122.171249668706,29.7001243132377,122.441116269065,29.781409401102,8220.83010868,8207.06943141,2006.77584885895,2020.53652612895,SC2_MG772934.1,Rhinolophus pusillus
29,9,2675.901755,113.513080444919,26.1511255031081,141.309176218723,39.266037912188,8220.830109,5544.928354,-655.36522855105,2020.53652644895,SC2_LC556375.1,Rhinolophus cornutus
35,36,23.6005141327,111.595578638164,27.3165281207896,111.707802668678,27.3903957355281,8220.98092243,8197.22959448,1996.93601192895,2020.53652606165,NA,NA
38,39,0.0341494199999999,108.918012742601,23.7479322994912,109.013423361197,23.6759999360296,8221.2131275991,8220.795959,2020.50237644895,2020.53652586895,NA,NA
